trials,current_accuracy,best_accuracy
0,0.007331653312140714,0.007331653312140714
1,0.7354520943474295,0.7354520943474295
2,0.09959186585776607,0.7354520943474295
3,0.44211391585216103,0.7354520943474295
4,0.7122698850299697,0.7354520943474295
5,0.7143326534256044,0.7354520943474295
6,0.7472703767469957,0.7472703767469957
7,0.7075577196881554,0.7472703767469957
8,0.7526065563718718,0.7526065563718718
9,0.7458914863417415,0.7526065563718718
10,0.5787551737380635,0.7526065563718718
11,0.7533997621579541,0.7533997621579541
12,0.7532947285611513,0.7533997621579541
13,0.7324564421651499,0.7533997621579541
14,0.7526198104785001,0.7533997621579541
15,0.7211474033788742,0.7533997621579541
16,0.7540280115756941,0.7540280115756941
17,0.5859940899277251,0.7540280115756941
18,0.7411402140441457,0.7540280115756941
19,0.7460032839077914,0.7540280115756941
20,0.7548624029904129,0.7548624029904129
21,0.7548956987794199,0.7548956987794199
22,0.7537986220028555,0.7548956987794199
23,0.690448718745175,0.7548956987794199
24,0.754139767165415,0.7548956987794199
25,0.13305377366074092,0.7548956987794199
26,0.7057140588470011,0.7548956987794199
27,0.750258703443401,0.7548956987794199
28,0.7293334803410162,0.7548956987794199
29,0.7393928918668639,0.7548956987794199
30,0.04156406005682358,0.7548956987794199
31,0.7540591824413432,0.7548956987794199
32,0.7525234887411267,0.7548956987794199
33,0.7299963927031858,0.7548956987794199
34,0.7541118456691284,0.7548956987794199
35,0.7513895044527982,0.7548956987794199
36,0.46037945828216653,0.7548956987794199
37,0.025813292686250506,0.7548956987794199
38,0.7449332813654904,0.7548956987794199
39,0.7501895695638039,0.7548956987794199
40,0.7450100609408556,0.7548956987794199
41,0.7554040233684884,0.7554040233684884
42,0.7531611228919779,0.7554040233684884
43,0.7540393284545347,0.7554040233684884
44,0.7531827758439347,0.7554040233684884
45,0.7526967478946887,0.7554040233684884
46,0.7531983080203853,0.7554040233684884
47,0.7350964594524402,0.7554040233684884
48,0.7505973380972543,0.7554040233684884
49,0.7411405289467861,0.7554040233684884
