trials,current_accuracy,best_accuracy
0,0.08839116856977049,0.08839116856977049
1,0.7499476504494288,0.7499476504494288
2,-0.00013119702367758723,0.7499476504494288
3,0.33657279687188063,0.7499476504494288
4,0.002290426350010829,0.7499476504494288
5,-0.0027446137007695417,0.7499476504494288
6,-0.0028180634002278326,0.7499476504494288
7,0.0012550638726418484,0.7499476504494288
8,0.007122483071117014,0.7499476504494288
9,0.7081638038721696,0.7499476504494288
