trials,current_accuracy,best_accuracy
0,0.7430419077383973,0.7430419077383973
1,0.7467003243438438,0.7467003243438438
2,0.7475308872022876,0.7475308872022876
3,0.7531500376734673,0.7531500376734673
4,0.7460593085155319,0.7531500376734673
5,0.6435574318924224,0.7531500376734673
6,0.7517211439698968,0.7531500376734673
7,0.7456312316557212,0.7531500376734673
8,0.4989968308000991,0.7531500376734673
9,0.7494469580556609,0.7531500376734673
10,0.7526011155873925,0.7531500376734673
11,0.7526011155873925,0.7531500376734673
12,0.7527197552714832,0.7531500376734673
13,0.7519446917640765,0.7531500376734673
14,0.7528376578626208,0.7531500376734673
15,0.7512829239228723,0.7531500376734673
16,0.7411745462662083,0.7531500376734673
17,0.7498079735398147,0.7531500376734673
18,0.7529571360198876,0.7531500376734673
19,0.7511083024837676,0.7531500376734673
20,0.7528916179750454,0.7531500376734673
21,0.7528007996376046,0.7531500376734673
22,0.7535878131408111,0.7535878131408111
23,0.7526172203033408,0.7535878131408111
24,0.7535623458535273,0.7535878131408111
25,0.7535473347511467,0.7535878131408111
26,0.7525757833421017,0.7535878131408111
27,0.7534687773478362,0.7535878131408111
28,0.7531203020010263,0.7535878131408111
29,0.7528794694979412,0.7535878131408111
