INDEX,pop_daytime_fishnet500,pop_nighttime_fishnet500,ACC_ACD,ACC_COM,ACC_ET,ACC_LS,DEN_FLOOR,DEN_BUILT,DEN_WALK,DEN_DRIVE,DEN_EVI,DEN_MNDWI,DIS_METRO,DIS_BUS,ACC_CBD,DEN_EXCHANGE,DEN_BUS
G500-272,2.424206,2.333333,0,0,0,0,0.0,0.0,0.005528,0.0,0.0,0.417487,16.610029,0.993798,66.388016,0.0,0
G500-274,6.877778,7.233333,0,0,2,0,0.0,0.0,0.000565,0.000565,0.663183,0.0,13.373857,0.396887,59.18654,0.0,0
G500-281,7.688889,7.033333,0,0,0,0,0.0,0.0,0.00256,0.00208,0.853671,0.0,12.869176,2.202651,60.732991,0.0,0
G500-282,7.65,11.066667,0,0,1,0,0.0,0.0,0.000105,0.003891,0.56393,0.038633,12.873369,1.91115,60.967114,0.0,0
G500-287,13.533333,9.1,0,1,34,6,0.415193,0.075844,0.001208,0.006892,0.439894,0.0,13.181934,0.025168,62.184829,0.0,8
G500-289,9.555556,8.073333,0,0,0,0,0.0,0.0,0.0,0.009163,0.434754,0.184501,13.434258,0.3391,62.69321,0.0,0
G500-290,7.244444,4.373333,0,1,0,0,0.0,0.0,0.001053,0.007756,0.421778,0.283338,13.586288,0.097509,62.951818,0.0,1
G500-291,2.667857,1.963333,0,0,0,0,0.0,0.0,0.001453,0.005416,0.371058,0.342701,13.754824,0.283247,63.213323,0.0,1
G500-297,10.022222,12.8,2,1,0,4,0.0,0.0,0.011713,0.004106,0.359947,0.052056,15.62238,0.231546,65.405402,0.0,3
G500-299,2.428571,2.833333,0,0,0,0,0.0,0.0,0.014917,0.0,0.001676,0.0,16.210326,1.05477,65.979937,0.0,0
G500-307,14.711111,12.4,1,4,0,0,0.0,0.0,0.003964,0.0,0.139735,0.058393,12.421006,2.021592,59.828873,0.0,0
G500-308,8.111111,7.186667,0,1,0,1,0.0,0.0,0.000645,0.003237,0.359016,0.0,12.385045,2.180697,60.058195,0.0,0
G500-309,6.466667,7.7,0,0,0,0,0.0,0.0,0.0,0.00318,0.51178,0.01048,12.369207,1.840786,60.290792,0.0,0
G500-311,14.044444,17.1,0,0,0,0,0.0,0.0,0.0,0.0,0.425325,0.001516,12.398112,1.242794,60.765658,0.0,0
G500-312,6.383333,5.133333,0,0,0,0,0.0,0.0,0.001413,0.0,0.50971,0.0,12.442714,1.154861,61.007852,0.0,0
G500-313,4.41627,2.646667,0,0,0,0,0.0,0.0,0.001282,0.004129,0.171106,0.047047,12.507161,1.117523,61.25317,0.0,0
G500-314,5.444444,3.283333,0,0,0,1,0.009218,0.003073,0.0,0.006461,0.314845,0.114292,12.591149,0.698647,61.501574,0.0,0
