trials,current_accuracy,best_accuracy
0,0.6636501275866588,0.6636501275866588
1,0.6679397205196159,0.6679397205196159
2,0.6649098119101603,0.6679397205196159
3,0.6200456254957283,0.6679397205196159
4,0.6691078810667435,0.6691078810667435
5,0.53280682693902,0.6691078810667435
6,0.6893795051945161,0.6893795051945161
7,0.6284866087957063,0.6893795051945161
8,0.6501202969060301,0.6893795051945161
9,0.6234032425805077,0.6893795051945161
10,0.6530038578532951,0.6893795051945161
11,0.6743919262074972,0.6893795051945161
12,0.6880392221376653,0.6893795051945161
13,0.6696995635453683,0.6893795051945161
14,0.6780114931321822,0.6893795051945161
15,0.535984809171091,0.6893795051945161
16,0.6658800319295647,0.6893795051945161
17,0.6860904252067505,0.6893795051945161
18,0.6658566131274752,0.6893795051945161
19,0.6851083738858611,0.6893795051945161
20,0.6445387649113187,0.6893795051945161
21,0.6802644438486288,0.6893795051945161
22,0.6622611245800037,0.6893795051945161
23,0.6780714458530076,0.6893795051945161
24,0.6648037818033984,0.6893795051945161
25,0.6920353704117429,0.6920353704117429
26,0.6741035217605931,0.6920353704117429
27,0.6632172714484352,0.6920353704117429
28,0.6711650041417498,0.6920353704117429
29,0.6889621361400416,0.6920353704117429
30,0.6826555416116378,0.6920353704117429
31,0.654542321378737,0.6920353704117429
32,0.6630993473269384,0.6920353704117429
33,0.6776609460874381,0.6920353704117429
34,0.6672939208197812,0.6920353704117429
35,0.650624655124121,0.6920353704117429
36,0.6720693537279722,0.6920353704117429
37,0.6775941062140541,0.6920353704117429
38,0.6714755335858626,0.6920353704117429
39,0.6074619512288701,0.6920353704117429
40,0.6574314078393985,0.6920353704117429
41,0.6790563445855332,0.6920353704117429
42,0.6746988502806816,0.6920353704117429
43,0.6718010365573303,0.6920353704117429
44,0.6927227692983932,0.6927227692983932
45,0.6829166884996448,0.6927227692983932
46,0.6763692376642817,0.6927227692983932
47,0.598990343794234,0.6927227692983932
48,0.6991222987031137,0.6991222987031137
49,0.694545416018827,0.6991222987031137
50,0.693603303235487,0.6991222987031137
51,0.687208727231544,0.6991222987031137
52,0.6693222593571946,0.6991222987031137
53,0.6904971540547181,0.6991222987031137
54,0.6770670640974226,0.6991222987031137
55,0.676403815141294,0.6991222987031137
56,0.698655102617347,0.6991222987031137
57,0.6890595478668763,0.6991222987031137
58,0.6667522808386172,0.6991222987031137
59,0.6794148093131063,0.6991222987031137
60,0.6714131133314619,0.6991222987031137
61,0.6651102566512971,0.6991222987031137
62,0.6825039391292528,0.6991222987031137
63,0.6818786584305468,0.6991222987031137
64,0.684368388795348,0.6991222987031137
65,0.6659501703179272,0.6991222987031137
66,0.6797762231187102,0.6991222987031137
67,0.6731060471834526,0.6991222987031137
68,0.6887985759266843,0.6991222987031137
69,0.6910892650130452,0.6991222987031137
70,0.6830823491824645,0.6991222987031137
71,0.6722377602016237,0.6991222987031137
72,0.6739819435767992,0.6991222987031137
73,0.6748347956473332,0.6991222987031137
74,0.6832133112877257,0.6991222987031137
75,0.6687127370183946,0.6991222987031137
76,0.6824578089955428,0.6991222987031137
77,0.6977926939855039,0.6991222987031137
78,0.6858114448901178,0.6991222987031137
79,0.6683717812721932,0.6991222987031137
80,0.6839472549795588,0.6991222987031137
81,0.6625531173822934,0.6991222987031137
82,0.6840652153880337,0.6991222987031137
83,0.6750715702226641,0.6991222987031137
84,0.6805226640892469,0.6991222987031137
85,0.6834156748591959,0.6991222987031137
86,0.6821862362531146,0.6991222987031137
87,0.6226252159686602,0.6991222987031137
88,0.6829908284244405,0.6991222987031137
89,0.6806366309978519,0.6991222987031137
90,0.6753167559921858,0.6991222987031137
91,0.6587921426781698,0.6991222987031137
92,0.686402132893126,0.6991222987031137
93,0.6540820281029395,0.6991222987031137
94,0.6632173194328356,0.6991222987031137
95,0.6753029678818705,0.6991222987031137
96,0.6644525373144864,0.6991222987031137
97,0.6612546367621158,0.6991222987031137
98,0.6842877161541282,0.6991222987031137
99,0.6895636692664112,0.6991222987031137
