trials,current_accuracy,best_accuracy
0,0.5933210409050844,0.5933210409050844
1,0.5815261941292892,0.5933210409050844
2,0.002421900722294068,0.5933210409050844
3,0.2291144485918136,0.5933210409050844
4,-0.00033713066681673176,0.5933210409050844
5,0.5993679048927489,0.5993679048927489
6,0.021964179289109098,0.5993679048927489
7,1.6816665456054203e-05,0.5993679048927489
8,0.0006693998453192407,0.5993679048927489
9,0.6045761014034685,0.6045761014034685
10,0.6298441589808654,0.6298441589808654
11,0.6299332140213657,0.6299332140213657
12,0.5697537463449613,0.6299332140213657
13,0.6239129545305133,0.6299332140213657
14,0.6346444739222179,0.6346444739222179
15,0.6191834752644038,0.6346444739222179
16,0.44850257551974293,0.6346444739222179
17,0.06893436744323116,0.6346444739222179
18,-0.15490250315042892,0.6346444739222179
19,0.6314032698535353,0.6346444739222179
20,0.6235655959931773,0.6346444739222179
21,0.480694236857791,0.6346444739222179
22,0.6332491029401306,0.6346444739222179
23,0.6282460169160486,0.6346444739222179
24,0.6351199185079337,0.6351199185079337
25,0.5960965562614706,0.6351199185079337
26,0.6368955083522149,0.6368955083522149
27,0.05577078197501002,0.6368955083522149
28,0.5552222324577653,0.6368955083522149
29,0.602491204579584,0.6368955083522149
30,0.6081231002939992,0.6368955083522149
31,0.6373358500006502,0.6373358500006502
32,0.6283649564443732,0.6373358500006502
33,0.6370248377707949,0.6373358500006502
34,0.23117428958846845,0.6373358500006502
35,0.5929959937626856,0.6373358500006502
36,0.6216764009374904,0.6373358500006502
37,-0.00040547708591383015,0.6373358500006502
38,0.6344535570724721,0.6373358500006502
39,0.6260542397914793,0.6373358500006502
40,0.2757878411169322,0.6373358500006502
41,0.6369875695095433,0.6373358500006502
42,0.6399115021874741,0.6399115021874741
43,0.6353188057615972,0.6399115021874741
44,0.6007941305023344,0.6399115021874741
45,0.6180435682389399,0.6399115021874741
46,0.5953787690259581,0.6399115021874741
47,0.0002793332062233977,0.6399115021874741
48,0.6335504169539885,0.6399115021874741
49,0.607414540988221,0.6399115021874741
50,0.37614103875497723,0.6399115021874741
51,0.6364561824276699,0.6399115021874741
52,0.6222353810646399,0.6399115021874741
53,0.6392334172874475,0.6399115021874741
54,0.6129069387412388,0.6399115021874741
55,0.6439188365657827,0.6439188365657827
56,0.6206431660665617,0.6439188365657827
57,0.6331102322907711,0.6439188365657827
58,0.6177853092211456,0.6439188365657827
59,0.37481928492313055,0.6439188365657827
60,0.6241056433914417,0.6439188365657827
61,0.6465571097418067,0.6465571097418067
62,0.6433327204401895,0.6465571097418067
63,0.6333913806120107,0.6465571097418067
64,0.6407973490803477,0.6465571097418067
65,0.5512226015562651,0.6465571097418067
66,0.6368978427521375,0.6465571097418067
67,0.5735488413631354,0.6465571097418067
68,0.5783458381015134,0.6465571097418067
69,0.019991265431424356,0.6465571097418067
70,0.639599884847032,0.6465571097418067
71,0.6422205049077453,0.6465571097418067
72,0.6196766341207913,0.6465571097418067
73,0.6395576402274148,0.6465571097418067
74,0.6392073550399077,0.6465571097418067
75,0.6360188906575172,0.6465571097418067
76,0.6086258096810763,0.6465571097418067
77,0.6070931953224254,0.6465571097418067
78,0.6368020050852861,0.6465571097418067
79,0.6237258879334437,0.6465571097418067
80,0.6289534837222144,0.6465571097418067
81,0.6418344350492015,0.6465571097418067
82,0.6413645853838142,0.6465571097418067
83,0.6370878564008883,0.6465571097418067
84,0.632499605849095,0.6465571097418067
85,0.6373723425001957,0.6465571097418067
86,0.6188709965603462,0.6465571097418067
87,0.6299265788006118,0.6465571097418067
88,0.6098004175593712,0.6465571097418067
89,0.6238967196783669,0.6465571097418067
90,0.6422280065804333,0.6465571097418067
91,0.6425774827964952,0.6465571097418067
92,0.6431238942624319,0.6465571097418067
93,0.6427024071457555,0.6465571097418067
94,0.6440646881609572,0.6465571097418067
95,0.6245979335998662,0.6465571097418067
96,0.5743138821126325,0.6465571097418067
97,0.6372969639864161,0.6465571097418067
98,0.6414201221215748,0.6465571097418067
99,0.3508088431674456,0.6465571097418067
