y_train,y_train_pred
12.4,9.454790275930367
15.222222,30.159365668007656
112.0,184.82827427257004
9.955556,41.61423048921107
14.911111,60.071767858968336
228.688889,205.50916966723804
51.488889,43.93925903464441
14.022222,24.431960591072883
16.911111,29.721126736211264
161.933333,136.3742505237268
32.2,45.009383402922026
241.533333,267.19071347441076
234.688889,159.9458314547614
64.177778,66.74759078443279
32.577778,53.41901897367057
72.266667,48.39061369399105
2.084821,8.998327264047886
407.555556,368.7282151587827
158.977778,145.81451656292734
54.533333,31.067983276079413
93.622222,177.2274083178866
17.488889,22.393153938730887
50.066667,22.44009176718631
303.111111,252.0638671070011
41.644444,85.45491634624743
40.488889,53.93464355312288
116.2,76.05968558157112
20.111111,29.67780754862205
176.355556,161.18467095275892
21.6,30.109709239005614
168.8,106.35434533196572
90.288889,55.12985356872332
223.444444,141.3508862536065
55.844444,35.453591652449134
278.177778,259.55379526229194
224.444444,303.86998558359727
37.533333,61.713976734866044
81.977778,102.47385630552725
35.355556,15.329818542258554
4.350694,11.627147230374895
31.977778,32.00565031232138
8.844444,11.348435106829179
114.422222,96.582487743486
104.822222,157.53505736022373
4.269444,13.424735134546518
59.488889,112.401228597874
993.844444,902.8452239058461
6.311111,13.572003630732484
47.8,34.02299260327593
8.088889,13.97964147267439
77.111111,69.57698618577592
109.8,108.88850806633995
100.488889,110.82807390599594
103.622222,67.8515672054951
186.933333,195.6691444585923
248.377778,175.7911322101321
79.669444,67.11596133069074
13.777778,63.86933140104482
14.85,19.91685528588307
56.088889,35.99911378044254
135.977778,130.36341063356375
29.2,22.373586575059395
12.977778,4.8159640941193995
6.777778,8.869847003075703
186.444444,194.03460532770356
53.155556,75.98262028322188
167.977778,143.67938233851376
166.511111,76.43751047636087
309.688889,181.63941778995172
48.933333,178.5420943736125
88.666667,43.59719974836193
6.1,77.90460726261801
12.944444,33.37211780808698
3.477381,12.587673596902242
8.777778,17.297536031214012
28.577778,9.615210215645588
18.8,97.8831193642196
23.6,36.75789782490477
180.888889,138.2857805132334
38.288889,55.113157057086035
72.711111,41.74538399186316
106.066667,54.12941500433498
26.355556,35.11577867570935
82.688889,110.68650246808761
131.422222,185.02426272116145
77.222222,75.27929452932203
1431.911111,888.0830046827435
60.955556,86.76773199253634
15.111111,11.437186893796252
80.311111,60.260131636953176
87.244444,97.24753446058327
24.622222,20.507183719646868
223.222222,244.98572302988381
49.555556,53.59914186195816
20.311111,30.110934730511037
174.177778,143.3348052232604
89.066667,105.65584711454393
16.444444,21.4171457746883
109.644444,111.6157335647623
11.022222,12.228326240775653
20.755556,80.0808908479476
80.733333,156.44518946273115
118.2,143.16989851723926
141.422222,181.89760869001114
23.733333,26.790825647686802
243.044444,230.10014002943763
63.044444,76.14830396289486
107.822222,121.8717928775272
28.911111,26.268603810775613
23.244444,24.094514363502835
128.155556,99.15530900255982
96.733333,66.94984381380613
34.111111,77.48787709778094
83.733333,197.53761223939344
152.6,152.78492446376362
31.688889,28.14823024145006
18.966667,29.47885973923627
14.622222,12.256891799840743
9.511111,22.159561038959463
59.941667,101.01236638161733
286.422222,286.66351319454253
9.133333,37.88862804377056
181.2,143.23782080353354
2.564286,9.527219316376726
90.222222,87.78337750732923
64.155556,38.41705768626167
90.955556,64.38721817473788
71.6,64.1046994909211
157.222222,110.63473267840588
477.244444,500.06401243927723
7.266667,41.69886253556505
85.911111,144.73189387614977
20.733333,26.18430697794901
428.066667,393.3088519150994
36.622222,29.709303640625386
99.866667,103.56630601027099
12.644444,27.99107999138327
70.555556,27.417197767125675
17.355556,48.32230054651583
143.733333,77.56936886453909
11.822222,10.817497113526795
5.124206,19.560387318969173
13.355556,12.051301449514673
23.533333,21.08495658259592
76.6,58.501003195924774
4.280556,12.116374643034492
130.533333,163.22079216291692
12.555556,27.197586020655688
5.244444,17.81704874209128
17.377778,49.8623830825782
16.688889,29.546720515152494
259.244444,238.6050285611862
10.444444,17.187508586175035
11.177778,11.312085107408544
121.2,80.83229674430257
2.314286,19.095411686445686
43.555556,42.09391886433855
25.111111,25.849198210158786
48.622222,111.46281985232623
83.888889,67.58838419826147
4.259524,13.02692607476558
192.088889,186.200948615454
44.333333,60.4943334737893
16.977778,41.60042995166462
39.911111,94.93066931673621
168.2,93.78039320991596
15.333333,69.3270486076576
31.555556,24.456006280177956
4.252778,36.071631525219814
30.2,48.75936357505285
96.6,164.99159661555873
13.044444,14.394941572678606
90.844444,48.949818959378696
296.288889,292.1779136414746
22.644444,39.924619602566985
193.0,193.85176162701774
16.644444,11.099424472967357
120.755556,150.40149009567176
80.555556,63.04945392183799
36.288889,16.294960857004746
67.955556,74.2977658969965
209.2,275.92299672963253
10.511111,26.337686088848248
25.755556,82.3610366994042
23.555556,50.45053988618829
8.733333,19.293539347914066
5.427778,13.504256208255331
31.825,13.409140800062161
4.555556,11.553881614122298
63.311111,29.32356931387551
455.622222,423.02143454866956
213.533333,177.20418879118887
